dataset,i,j,dv,drgb8
bfd_p-d65,495,486,1.17,3
bfd_p-d65,479,487,2.17,4
bfd_p-d65,745,798,3.59,7
bfd_p-d65,797,783,2.05,4
bfd_p-d65,764,813,2.39,8
bfd_p-d65,1341,1327,2.01,5
bfd_p-d65,1341,1374,2.58,8
bfd_p-d65,1335,1400,1.77,10
bfd_p-d65,86,94,2.25,5
bfd_p-d65,652,650,0.88,6
bfd_p-d65,652,690,1.17,7
bfd_p-d65,582,641,1.78,10
bfd_p-d65,2150,2146,1.14,5
bfd_p-d65,2163,2131,3.13,5
bfd_p-d65,2163,2145,2.08,5
bfd_p-d65,1425,1402,2.01,25
bfd_p-d65,1403,1446,2.98,8
bfd_p-d65,1425,1445,3.53,31
bfd_p-d65,1337,1394,2.74,15
bfd_p-d65,1395,1379,2.5,6
bfd_p-d65,1337,1378,3.1,15
bfd_p-d65,1570,1569,2.94,6
bfd_p-d65,1568,1607,3.44,10
bfd_p-d65,1570,1608,4.0,7
bfd_p-d65,1482,1436,3.57,18
bfd_p-d65,1435,1416,1.87,16
bfd_p-d65,1482,1415,4.82,34
bfd_p-d65,1907,1904,1.04,21
bfd_p-d65,588,662,2.39,31
bfd_p-d65,546,575,1.84,8
bfd_p-d65,546,557,2.21,4
bfd_p-d65,556,534,1.81,4
bfd_p-d65,2034,2017,3.19,9
bfd_p-d65,2018,1920,4.06,8
bfd_p-d65,2023,1939,4.15,9
bfd_p-d65,2494,2500,3.6,6
bfd_p-d65,2494,2489,3.26,5
bfd_p-d65,2494,2501,3.85,8
bfd_p-d65,2362,2365,1.54,2
bfd_p-d65,2364,2361,4.59,6
bfd_p-d65,2362,2360,4.7,6
bfd_p-d65,2288,2284,5.33,10
bfd_p-d65,2288,2260,5.5,8
bfd_p-d65,2259,2269,5.3,5
bfd_p-d65,1256,1296,3.04,4
bfd_p-d65,1209,1246,2.7,6
bfd_p-d65,1154,1292,3.63,7
bfd_p-d65,1714,1711,4.25,5
bfd_p-d65,1708,1753,3.17,3
bfd_p-d65,1714,1752,2.92,6
bfd_p-d65,1686,1667,3.32,6
bfd_p-d65,1686,1718,3.96,8
bfd_p-d65,1638,1665,3.42,3
bfd_p-d65,792,801,2.83,3
bfd_p-d65,800,747,3.49,6
bfd_p-d65,792,746,4.17,4
bfd_p-d65,54,30,1.84,2
bfd_p-d65,31,26,4.26,3
bfd_p-d65,39,57,1.39,2
bfd_p-d65,2421,2428,2.26,12
bfd_p-d65,2427,2424,1.38,3
bfd_p-d65,2426,2450,1.63,4
bfd_p-d65,2323,2324,3.45,12
bfd_p-d65,2325,2327,2.69,4
bfd_p-d65,2323,2328,4.74,11
bfd_p-d65,2067,2113,2.64,5
bfd_p-d65,2067,2022,2.83,5
bfd_p-d65,2055,2066,3.17,12
bfd_p-d65,2055,2098,2.77,11
bfd_p-d65,1734,1715,3.53,15
bfd_p-d65,1735,1700,3.27,4
bfd_p-d65,1734,1701,2.71,9
bfd_p-d65,1114,1111,1.2,5
bfd_p-d65,1112,1168,3.48,5
bfd_p-d65,1169,1109,3.73,6
bfd_p-d65,1107,1108,2.23,8
bfd_p-d65,1107,1121,2.09,3
bfd_p-d65,327,399,2.61,5
bfd_p-d65,398,338,2.02,4
bfd_p-d65,339,332,1.12,7
bfd_p-d65,402,391,1.56,2
bfd_p-d65,334,392,2.19,3
bfd_p-d65,1910,1979,4.12,9
bfd_p-d65,1978,2013,4.12,5
bfd_p-d65,2010,1941,2.76,6
bfd_p-d65,1516,1505,3.22,4
bfd_p-d65,1504,1484,4.0,8
bfd_p-d65,1516,1483,4.21,12
bfd_p-d65,1577,1550,3.09,7
bfd_p-d65,1549,1589,5.05,12
bfd_p-d65,1577,1590,3.33,5
bfd_p-d65,1120,1089,3.23,7
bfd_p-d65,1088,1138,3.36,7
bfd_p-d65,1120,1137,3.61,6
bfd_p-d65,458,451,2.32,4
bfd_p-d65,450,453,2.39,4
bfd_p-d65,452,474,1.81,5
bfd_p-d65,27,24,1.76,4
bfd_p-d65,25,23,2.25,3
bfd_p-d65,27,22,1.85,3
bfd_p-d65,2147,2160,2.68,6
bfd_p-d65,2159,2189,2.25,7
bfd_p-d65,2147,2188,3.4,12
bfd_p-d65,1237,1392,3.19,10
bfd_p-d65,1391,1318,2.26,5
bfd_p-d65,1237,1317,2.2,5
bfd_p-d65,128,151,2.64,3
bfd_p-d65,150,147,1.68,2
bfd_p-d65,128,148,2.86,3
bfd_p-d65,2326,2320,5.44,11
bfd_p-d65,2321,2318,2.14,4
bfd_p-d65,2326,2319,6.34,15
bfd_p-d65,1843,1874,3.01,8
bfd_p-d65,1875,1849,2.99,4
bfd_p-d65,1843,1850,3.33,8
bfd_p-d65,826,834,2.51,6
bfd_p-d65,832,849,5.27,4
bfd_p-d65,826,848,3.93,7
bfd_p-d65,211,206,2.16,4
bfd_p-d65,205,204,2.89,2
bfd_p-d65,211,203,4.46,5
bfd_p-d65,1455,1457,1.75,5
bfd_p-d65,1474,1476,1.88,5
bfd_p-d65,1486,1480,2.36,7
bfd_p-d65,1486,1463,2.64,7
bfd_p-d65,1481,1470,2.5,5
bfd_p-d65,1424,1426,2.18,3
bfd_p-d65,1408,1350,2.51,4
bfd_p-d65,1315,1261,3.08,3
bfd_p-d65,1226,1206,2.61,2
bfd_p-d65,1226,1204,3.03,2
bfd_p-d65,1104,1094,2.78,3
bfd_p-d65,852,795,2.49,5
bfd_p-d65,735,748,2.53,6
bfd_p-d65,687,698,2.15,6
bfd_p-d65,701,686,2.32,8
bfd_p-d65,679,693,1.93,6
bfd_p-d65,672,695,2.7,6
bfd_p-d65,715,716,1.53,3
bfd_p-d65,741,790,1.85,6
bfd_p-d65,890,1028,1.93,7
bfd_p-d65,1086,1132,2.11,7
bfd_p-d65,1119,1149,2.36,6
bfd_p-d65,1221,1281,2.15,5
bfd_p-d65,1280,1357,2.34,7
bfd_p-d65,1387,1412,2.41,5
bfd_p-d65,1432,1447,2.09,6
bfd_p-d65,1422,1444,2.58,6
bfd_p-d65,1439,1459,1.8,5
bfd_p-d65,1439,1454,2.29,6
bfd_p-d65,1161,1182,1.72,6
bfd_p-d65,1202,1231,2.17,6
bfd_p-d65,1560,1593,2.06,5
bfd_p-d65,1527,1490,1.47,9
bfd_p-d65,2258,2252,1.67,3
bfd_p-d65,2278,2253,2.34,6
bfd_p-d65,1496,1477,2.3,7
bfd_p-d65,628,595,1.63,10
bfd_p-d65,515,485,1.78,28
bfd_p-d65,406,444,1.87,11
bfd_p-d65,684,706,3.02,9
bfd_p-d65,755,812,1.69,6
bfd_p-d65,1215,1241,1.95,9
bfd_p-d65,1143,1167,1.1,5
bfd_p-d65,1143,1217,1.89,7
bfd_p-d65,707,710,2.69,8
bfd_p-d65,1893,1880,2.62,8
bfd_p-d65,1597,1592,2.12,7
bfd_p-d65,1525,1489,1.97,9
bfd_p-d65,2271,2250,2.75,6
bfd_p-d65,629,600,1.67,10
bfd_p-d65,683,705,3.66,10
bfd_p-d65,240,277,2.87,10
bfd_p-d65,240,258,3.22,11
bfd_p-d65,516,502,2.5,7
bfd_p-d65,516,528,2.14,9
bfd_p-d65,322,320,2.24,7
bfd_p-d65,794,915,4.16,10
bfd_p-d65,1042,1092,4.93,13
bfd_p-d65,1124,1133,5.05,9
bfd_p-d65,333,415,4.09,40
bfd_p-d65,1620,1677,1.9,13
bfd_p-d65,1620,1632,3.04,30
bfd_p-d65,1620,1613,2.77,16
bfd_p-d65,1620,1602,3.03,20
bfd_p-d65,1620,1609,2.61,17
bfd_p-d65,1620,1612,3.83,18
bfd_p-d65,1620,1562,4.28,21
bfd_p-d65,1620,1611,4.6,16
bfd_p-d65,1620,1783,4.35,10
bfd_p-d65,1620,1566,2.91,7
bfd_p-d65,1620,1591,3.63,7
bfd_p-d65,1620,1697,3.36,8
bfd_p-d65,1620,1717,3.18,7
bfd_p-d65,1620,1784,3.13,10
bfd_p-d65,1620,1707,2.4,15
bfd_p-d65,2136,2173,4.26087,8
bfd_p-d65,2136,2129,0.84058,3
bfd_p-d65,2136,2128,2.89855,4
bfd_p-d65,2136,2122,1.21739,4
bfd_p-d65,2136,2133,1.91304,6
bfd_p-d65,2136,2141,3.15942,7
bfd_p-d65,2136,2157,0.898551,3
bfd_p-d65,2136,2115,2.69565,5
bfd_p-d65,2136,2118,1.91304,4
bfd_p-d65,2136,2099,3.18841,7
bfd_p-d65,2136,2151,1.7971,3
bfd_p-d65,2136,2107,2.37681,7
bfd_p-d65,2136,2127,1.30435,6
bfd_p-d65,2136,2142,1.33333,3
bfd_p-d65,2224,2245,3.53075,7
bfd_p-d65,2224,2205,1.5262,4
bfd_p-d65,2224,2219,0.592255,3
bfd_p-d65,2224,2254,2.18679,9
bfd_p-d65,2224,2243,2.36902,8
bfd_p-d65,2224,2222,1.23007,2
bfd_p-d65,2224,2232,2.2779,5
bfd_p-d65,2224,2210,1.27563,4
bfd_p-d65,2224,2205,2.96128,4
bfd_p-d65,2224,2235,1.68565,2
bfd_p-d65,2224,2214,2.2779,3
bfd_p-d65,2224,2244,1.50342,6
bfd_p-d65,2224,2220,1.93622,2
bfd_p-d65,2224,2207,1.82232,6
bfd_p-d65,918,985,2.52157,3
bfd_p-d65,918,1044,0.594439,3
bfd_p-d65,918,914,1.15053,2
bfd_p-d65,918,864,1.57239,3
bfd_p-d65,918,1022,0.642378,3
bfd_p-d65,918,1064,0.958773,5
bfd_p-d65,918,862,0.699904,2
bfd_p-d65,918,968,0.488974,2
bfd_p-d65,918,799,1.17929,5
bfd_p-d65,918,1014,1.79291,3
bfd_p-d65,918,946,1.43816,3
bfd_p-d65,918,1023,0.958773,3
bfd_p-d65,918,1035,1.61074,5
bfd_p-d65,718,740,0.899281,4
bfd_p-d65,718,732,1.11511,2
bfd_p-d65,718,727,0.707434,3
bfd_p-d65,718,729,1.05516,2
bfd_p-d65,718,709,1.31894,8
bfd_p-d65,718,720,0.683453,3
bfd_p-d65,718,742,1.91847,4
bfd_p-d65,718,703,1.1271,6
bfd_p-d65,718,714,1.7506,5
bfd_p-d65,718,697,2.63789,9
bfd_p-d65,718,809,1.4988,10
bfd_p-d65,718,719,1.19904,2
bfd_p-d65,718,760,1.64269,5
bfd_p-d65,718,734,1.13909,2
bfd_p-d65,2000,1985,2.10309,6
bfd_p-d65,2000,2032,2.06186,7
bfd_p-d65,2000,2015,3.50515,8
bfd_p-d65,2000,1966,1.62887,3
bfd_p-d65,2000,2070,4.8866,13
bfd_p-d65,2000,1952,2.28866,7
bfd_p-d65,2000,2073,3.36082,9
bfd_p-d65,2000,1911,3.48454,10
bfd_p-d65,2000,1999,1.95876,5
bfd_p-d65,2000,2020,1.54639,2
bfd_p-d65,2000,1982,1.60825,4
bfd_p-d65,2000,1962,3.52577,9
bfd_p-d65,2000,1973,1.89691,6
bfd_p-d65,2000,2024,1.6701,6
bfd_p-d65,2000,1988,1.01031,2
bfd_p-d65,2000,1935,2.06186,8
bfd_p-d65,2000,1943,2.2268,5
bfd_p-d65,2000,1953,1.38144,4
bfd_p-d65,2000,1957,2.76289,9
bfd_p-d65,1203,1180,2.8,3
bfd_p-d65,1203,1162,2.16364,3
bfd_p-d65,1203,1310,1.63636,5
bfd_p-d65,1203,1240,1.54545,3
bfd_p-d65,1203,1230,2.90909,5
bfd_p-d65,1203,1155,2.45455,3
bfd_p-d65,1203,1244,0.963636,3
bfd_p-d65,1203,1243,1.63636,2
bfd_p-d65,1203,1309,2.27273,5
bfd_p-d65,1203,1308,3.0,5
bfd_p-d65,1203,1228,1.45455,2
bfd_p-d65,1203,1300,2.36364,5
bfd_p-d65,1203,1207,1.81818,2
bfd_p-d65,590,607,1.35685,2
bfd_p-d65,590,606,1.35685,3
bfd_p-d65,590,580,1.64179,4
bfd_p-d65,590,586,1.49254,3
bfd_p-d65,590,611,1.66893,3
bfd_p-d65,590,659,1.89959,6
bfd_p-d65,590,551,1.83175,6
bfd_p-d65,590,571,1.12619,2
bfd_p-d65,590,576,1.27544,2
bfd_p-d65,590,647,1.56038,5
bfd_p-d65,590,594,2.34735,4
bfd_p-d65,590,642,1.89959,5
bfd_p-d65,590,622,1.35685,4
bfd_p-d65,2140,2155,1.00534,3
bfd_p-d65,2140,2165,0.596085,4
bfd_p-d65,2140,2121,1.45018,4
bfd_p-d65,2140,2169,1.56584,4
bfd_p-d65,2140,2096,0.836299,5
bfd_p-d65,2140,2167,1.97509,4
bfd_p-d65,2140,2263,2.38434,15
bfd_p-d65,2140,2108,1.75267,5
bfd_p-d65,2140,2264,1.77936,16
bfd_p-d65,2140,2166,0.569395,3
bfd_p-d65,2140,2158,1.61032,3
bfd_p-d65,2140,2246,1.74377,14
bfd_p-d65,2140,2102,1.77936,6
bfd_p-d65,2140,2064,2.09075,7
bfd_p-d65,2140,2247,1.9395,12
bfd_p-d65,2140,2185,1.36121,6
bfd_p-d65,2140,2178,2.34875,7
bfd_p-d65,2140,2261,1.90391,17
bfd_p-d65,2140,1927,3.10498,14
bfd_p-d65,2140,2240,1.98399,12
bfd_p-d65,2140,2256,3.20285,16
bfd_p-d65,2140,2272,3.16726,16
bfd_p-d65,2140,2238,2.41103,13
bfd_p-d65,2140,2097,1.70819,7
bfd_p-d65,2140,2125,0.898577,3
bfd_p-d65,2140,2126,1.76157,3
bfd_p-d65,2140,2116,1.97509,12
bfd_p-d65,2140,2138,0.462633,3
bfd_p-d65,2225,2203,0.220327,4
bfd_p-d65,2225,2201,1.74129,5
bfd_p-d65,2225,2197,0.618337,5
bfd_p-d65,2225,2194,1.46411,3
bfd_p-d65,2225,2216,0.817342,4
bfd_p-d65,2225,2183,2.48045,4
bfd_p-d65,2225,2239,1.59915,5
bfd_p-d65,2225,2193,0.312722,4
bfd_p-d65,2225,2241,1.44989,4
bfd_p-d65,2225,2112,3.12011,14
bfd_p-d65,2225,2209,1.22246,4
bfd_p-d65,2225,2213,0.319829,2
bfd_p-d65,2225,2212,0.938166,3
bfd_p-d65,2225,2229,1.43568,2
bfd_p-d65,2225,2200,1.22246,3
bfd_p-d65,2225,2211,1.70576,4
bfd_p-d65,2225,2204,1.24378,5
bfd_p-d65,2225,2215,2.32409,4
bfd_p-d65,2225,2237,1.1656,3
bfd_p-d65,2225,2191,1.29353,5
bfd_p-d65,2225,2190,0.533049,4
bfd_p-d65,2225,2161,1.9403,8
bfd_p-d65,2225,2196,1.60625,3
bfd_p-d65,2225,2179,2.3312,8
bfd_p-d65,2225,2154,3.95167,9
bfd_p-d65,2225,2223,2.26724,3
bfd_p-d65,2225,2198,0.696517,5
bfd_p-d65,1013,1065,1.08359,3
bfd_p-d65,1013,869,0.629515,3
bfd_p-d65,1013,1038,0.985552,2
bfd_p-d65,1013,1012,1.30031,2
bfd_p-d65,1013,855,1.44995,5
bfd_p-d65,1013,927,1.00103,2
bfd_p-d65,1013,1036,1.59443,3
bfd_p-d65,1013,1047,0.835913,2
bfd_p-d65,1013,1060,1.56863,4
bfd_p-d65,1013,1043,1.32095,2
bfd_p-d65,1013,951,0.381837,2
bfd_p-d65,1013,877,1.46543,4
bfd_p-d65,1013,873,0.892673,3
bfd_p-d65,1013,1053,1.45511,3
bfd_p-d65,1013,1052,0.443756,2
bfd_p-d65,1013,1050,0.624355,2
bfd_p-d65,1013,1051,0.794634,2
bfd_p-d65,708,804,1.95985,7
bfd_p-d65,708,736,2.17973,5
bfd_p-d65,708,861,3.34608,13
bfd_p-d65,708,894,1.47228,9
bfd_p-d65,708,806,0.917782,7
bfd_p-d65,708,830,2.81071,9
bfd_p-d65,708,761,1.08031,5
bfd_p-d65,708,814,2.31358,10
bfd_p-d65,708,784,2.11281,10
bfd_p-d65,708,753,2.12237,10
bfd_p-d65,708,769,1.28107,8
bfd_p-d65,708,779,1.33843,8
bfd_p-d65,708,815,1.64436,8
bfd_p-d65,708,897,1.35755,10
bfd_p-d65,708,733,1.31931,3
bfd_p-d65,708,805,0.8413,7
bfd_p-d65,708,763,1.20459,6
bfd_p-d65,708,770,0.965583,5
bfd_p-d65,708,774,0.975143,7
bfd_p-d65,708,857,3.09751,11
bfd_p-d65,708,932,1.88337,13
bfd_p-d65,708,854,3.24092,10
bfd_p-d65,708,808,2.55258,12
bfd_p-d65,708,717,2.3327,6
bfd_p-d65,708,722,2.32314,6
bfd_p-d65,708,853,3.01147,12
bfd_p-d65,708,846,2.78203,9
bfd_p-d65,708,837,1.56788,9
bfd_p-d65,708,828,1.52008,7
bfd_p-d65,2039,2031,0.427529,2
bfd_p-d65,2039,2071,0.745568,3
bfd_p-d65,2039,2051,1.73097,2
bfd_p-d65,2039,2082,1.80918,3
bfd_p-d65,2039,2030,0.948905,3
bfd_p-d65,2039,2054,0.469239,2
bfd_p-d65,2039,2083,1.38686,3
bfd_p-d65,2039,1969,1.73618,5
bfd_p-d65,2039,2087,0.990615,5
bfd_p-d65,2039,2009,1.45985,3
bfd_p-d65,2039,2019,0.907195,3
bfd_p-d65,2039,1963,1.73097,8
bfd_p-d65,2039,2059,0.255474,2
bfd_p-d65,2039,1948,2.14807,8
bfd_p-d65,2039,2014,0.980188,4
bfd_p-d65,2039,2057,0.281543,2
bfd_p-d65,2039,1984,1.61627,7
bfd_p-d65,2039,2025,0.834202,3
bfd_p-d65,2039,1987,1.45985,6
bfd_p-d65,2039,2081,1.08446,3
bfd_p-d65,2039,2080,2.03858,4
bfd_p-d65,2039,2111,1.73097,7
bfd_p-d65,2039,2062,0.943691,2
bfd_p-d65,1223,1247,2.51111,2
bfd_p-d65,1223,1214,2.51111,2
bfd_p-d65,1223,1165,3.38519,4
bfd_p-d65,1223,1172,0.977778,2
bfd_p-d65,1223,1177,0.325926,2
bfd_p-d65,1223,1147,1.91852,4
bfd_p-d65,1223,1208,3.17778,6
bfd_p-d65,1223,1276,3.7037,3
bfd_p-d65,1223,1216,3.18519,3
bfd_p-d65,1223,1236,1.7037,2
bfd_p-d65,1223,1233,3.0963,2
bfd_p-d65,1223,1284,1.06667,2
bfd_p-d65,1223,1117,2.96296,6
bfd_p-d65,1223,1163,0.888889,2
bfd_p-d65,1223,1270,2.88148,4
bfd_p-d65,1223,1218,3.28889,2
bfd_p-d65,1223,1153,3.4,4
bfd_p-d65,1223,1190,2.04444,4
bfd_p-d65,1223,1189,3.8963,3
bfd_p-d65,1223,1178,2.8,3
bfd_p-d65,1223,1227,1.81481,2
bfd_p-d65,1223,1140,1.25926,3
bfd_p-d65,1223,1277,1.47407,3
bfd_p-d65,1223,1157,2.72593,4
bfd_p-d65,1651,1644,2.07626,3
bfd_p-d65,1651,1642,2.03748,3
bfd_p-d65,1651,1645,1.14551,2
bfd_p-d65,1651,1634,1.8217,3
bfd_p-d65,1651,1648,1.77933,3
bfd_p-d65,1651,1678,1.8217,3
bfd_p-d65,1651,1659,1.75789,2
bfd_p-d65,1651,1658,1.86341,2
bfd_p-d65,1651,1660,1.77933,2
bfd_p-d65,1651,1689,1.72176,3
bfd_p-d65,1651,1693,2.49783,4
bfd_p-d65,1651,1692,2.07626,3
bfd_p-d65,1651,1672,2.05693,2
bfd_p-d65,1651,1690,1.99162,3
bfd_p-d65,1651,1663,2.01137,3
bfd_p-d65,1651,1654,1.67774,2
bfd_p-d65,1651,1657,2.03748,4
bfd_p-d65,1651,1643,1.34424,2
bfd_p-d65,1651,1652,1.89089,4
bfd_p-d65,1651,1846,1.64045,7
bfd_p-d65,1651,1885,2.17113,9
bfd_p-d65,1651,1868,2.22064,8
bfd_p-d65,1651,1844,2.01137,8
bfd_p-d65,1651,1824,2.20215,6
bfd_p-d65,1651,1842,1.99162,8
bfd_p-d65,1651,1837,2.58759,8
bfd_p-d65,1651,1828,2.03748,7
bfd_p-d65,1651,1739,1.72176,4
bfd_p-d65,1651,1713,2.09546,3
bfd_p-d65,1651,1668,1.55636,2
bfd_p-d65,1651,1635,1.2294,2
bfd_p-d65,1651,1603,1.67774,4
bfd_p-d65,1651,1596,1.75789,4
bfd_p-d65,1651,1530,2.20215,8
bfd_p-d65,1651,1565,1.64045,6
bfd_p-d65,1651,1509,2.51482,9
bfd_p-d65,1651,1494,1.97175,9
bfd_p-d65,1651,1524,1.93161,7
bfd_p-d65,1651,1473,2.15239,12
bfd_p-d65,1651,1573,1.52502,5
bfd_p-d65,1651,1475,2.01137,11
bfd_p-d65,1651,1834,1.69985,6
bfd_p-d65,1651,1853,1.89089,8
bfd_p-d65,1651,1867,1.99162,8
bfd_p-d65,1651,1818,1.75789,5
bfd_p-d65,1651,1836,1.84263,6
bfd_p-d65,1651,1832,1.8217,6
bfd_p-d65,1651,1757,1.17392,3
bfd_p-d65,1651,1831,2.03748,6
bfd_p-d65,1651,1767,1.64045,4
bfd_p-d65,1651,1702,1.14551,2
bfd_p-d65,1651,1706,1.99162,3
bfd_p-d65,1651,1604,2.07626,3
bfd_p-d65,1651,1610,1.27438,2
bfd_p-d65,1651,1581,1.75789,5
bfd_p-d65,1651,1533,2.09546,7
bfd_p-d65,1651,1536,2.01137,6
bfd_p-d65,1651,1501,2.09546,9
bfd_p-d65,1651,1521,2.07626,8
bfd_p-d65,1651,1551,1.55636,6
bfd_p-d65,1651,1497,2.07626,9
bfd_p-d65,1651,1492,1.93161,9
bfd_p-d65,1302,1340,1.241,3
bfd_p-d65,1302,1372,1.86844,6
bfd_p-d65,1302,1359,1.59683,5
bfd_p-d65,1302,1352,1.11241,3
bfd_p-d65,1302,1384,1.67256,6
bfd_p-d65,1302,1385,1.83677,6
bfd_p-d65,1302,1366,1.14763,4
bfd_p-d65,1302,1397,2.33995,7
bfd_p-d65,1302,1360,1.38446,3
bfd_p-d65,1302,1373,2.20169,5
bfd_p-d65,1302,1332,1.36126,2
bfd_p-d65,1302,1368,1.77882,4
bfd_p-d65,1302,1330,1.31404,2
bfd_p-d65,1302,1326,1.25748,2
bfd_p-d65,1302,1339,1.94303,2
bfd_p-d65,1302,1349,1.25748,2
bfd_p-d65,1302,1343,2.00376,4
bfd_p-d65,1302,1304,1.14763,2
bfd_p-d65,1302,1293,2.72078,6
bfd_p-d65,1302,1285,1.25748,4
bfd_p-d65,1302,1266,0.903218,3
bfd_p-d65,1302,1210,1.97962,6
bfd_p-d65,1302,1238,0.933556,3
bfd_p-d65,1302,1212,1.86844,6
bfd_p-d65,1302,1448,1.241,9
bfd_p-d65,1302,1411,0.882611,5
bfd_p-d65,1302,1465,1.70624,11
bfd_p-d65,1302,1466,2.09263,12
bfd_p-d65,1302,1418,0.892955,6
bfd_p-d65,1302,1462,2.02174,12
bfd_p-d65,1302,1413,1.28192,6
bfd_p-d65,1302,1430,1.93073,9
bfd_p-d65,1302,1399,1.20761,5
bfd_p-d65,1302,1396,1.90597,7
bfd_p-d65,1302,1301,1.10349,5
bfd_p-d65,1302,1170,1.84949,8
bfd_p-d65,1302,1179,1.19068,5
bfd_p-d65,1302,1098,2.13323,8
bfd_p-d65,1302,1176,1.3299,4
bfd_p-d65,1302,1082,1.63154,9
bfd_p-d65,1302,1151,1.0489,5
bfd_p-d65,1302,1069,1.61772,11
bfd_p-d65,1302,1405,1.241,4
bfd_p-d65,1302,1467,1.83677,11
bfd_p-d65,1302,1458,1.46743,10
bfd_p-d65,1302,1428,1.48951,7
bfd_p-d65,1302,1472,2.27981,12
bfd_p-d65,1302,1421,1.19068,6
bfd_p-d65,1302,1427,1.72624,7
bfd_p-d65,1302,1437,2.43621,9
bfd_p-d65,1302,1398,1.31404,4
bfd_p-d65,1302,1336,1.79828,2
bfd_p-d65,1302,1282,1.43763,2
bfd_p-d65,1302,1199,2.1101,5
bfd_p-d65,1302,1188,1.69283,4
bfd_p-d65,1302,1090,1.90597,9
bfd_p-d65,1302,1136,1.25748,6
bfd_p-d65,1302,1054,2.03366,12
bfd_p-d65,1302,1135,0.973011,6
bfd_p-d65,2423,2418,1.69703,11
bfd_p-d65,2423,2429,1.29673,7
bfd_p-d65,2423,2417,1.50579,10
bfd_p-d65,2423,2432,1.39169,8
bfd_p-d65,2423,2433,1.25534,6
bfd_p-d65,2423,2434,1.14205,6
bfd_p-d65,2423,2440,1.29673,5
bfd_p-d65,2423,2439,1.09689,3
bfd_p-d65,2423,2441,1.2343,4
bfd_p-d65,2423,2448,1.28131,4
bfd_p-d65,2423,2444,1.29673,3
bfd_p-d65,2423,2437,1.29673,2
bfd_p-d65,2423,2443,1.45897,3
bfd_p-d65,2423,2447,1.64515,4
bfd_p-d65,2423,2438,1.34227,4
bfd_p-d65,2423,2435,1.14205,3
bfd_p-d65,2423,2436,1.48719,5
bfd_p-d65,2423,2430,1.3171,5
bfd_p-d65,2423,2416,1.29673,8
bfd_p-d65,2423,2431,1.14205,5
bfd_p-d65,2423,2425,1.06219,6
bfd_p-d65,2423,2414,1.47312,9
bfd_p-d65,2423,2470,1.51965,13
bfd_p-d65,2423,2463,1.35722,10
bfd_p-d65,2423,2469,1.35722,11
bfd_p-d65,2423,2461,1.37699,9
bfd_p-d65,2423,2471,1.59664,11
bfd_p-d65,2423,2462,1.37699,9
bfd_p-d65,2423,2464,1.70983,10
bfd_p-d65,2423,2456,1.34227,9
bfd_p-d65,2423,2465,1.47312,12
bfd_p-d65,2423,2453,0.971898,7
bfd_p-d65,2423,2452,1.47312,8
bfd_p-d65,2423,2451,1.16969,5
bfd_p-d65,2423,2446,1.09689,3
bfd_p-d65,2423,2406,1.3171,5
bfd_p-d65,2423,2397,1.09689,4
bfd_p-d65,2423,2358,1.15869,7
bfd_p-d65,2423,2356,1.02671,8
bfd_p-d65,2423,2347,1.25534,11
bfd_p-d65,2423,2332,1.43997,15
bfd_p-d65,2423,2344,1.21836,11
bfd_p-d65,2423,2473,1.33224,13
bfd_p-d65,2423,2457,1.12526,9
bfd_p-d65,2423,2466,1.29673,11
bfd_p-d65,2423,2455,1.00259,8
bfd_p-d65,2423,2454,1.12526,8
bfd_p-d65,2423,2449,1.20766,3
bfd_p-d65,2423,2442,1.35722,3
bfd_p-d65,2423,2415,1.20766,3
bfd_p-d65,2423,2378,1.09689,3
bfd_p-d65,2423,2359,1.47312,6
bfd_p-d65,2423,2357,1.09689,6
bfd_p-d65,2423,2341,1.50579,11
bfd_p-d65,2423,2350,1.62763,9
bfd_p-d65,2423,2354,0.814336,7
bfd_p-d65,2423,2348,1.26056,9
bfd_p-d65,2423,2334,1.4256,12
bfd_p-d65,2423,2346,1.14205,10
bfd_p-d65,2423,2331,1.26056,14
bfd_p-d65,2423,2339,1.0854,11
bfd_p-d65,2423,2330,1.29673,15
bfd_p-d65,892,771,1.98619,37
bfd_p-d65,892,762,2.16695,49
bfd_p-d65,892,851,1.16451,15
bfd_p-d65,892,802,1.57389,22
bfd_p-d65,892,768,1.8998,40
bfd_p-d65,892,821,1.26062,13
bfd_p-d65,892,785,1.9162,19
bfd_p-d65,892,843,1.61088,9
bfd_p-d65,892,816,2.07529,9
bfd_p-d65,892,863,1.26062,3
bfd_p-d65,892,859,1.7186,5
bfd_p-d65,892,867,1.32438,4
bfd_p-d65,892,933,1.83885,9
bfd_p-d65,892,942,1.32438,8
bfd_p-d65,892,1001,2.07529,16
bfd_p-d65,892,993,1.34518,12
bfd_p-d65,892,1039,1.82201,18
bfd_p-d65,892,998,1.39291,14
bfd_p-d65,892,1061,1.8556,22
bfd_p-d65,892,1004,1.34518,13
bfd_p-d65,892,1164,2.43235,11
bfd_p-d65,892,1091,1.36577,6
bfd_p-d65,892,1196,2.22664,11
bfd_p-d65,892,1096,1.28922,6
bfd_p-d65,892,1191,2.19196,15
bfd_p-d65,892,1095,1.28922,10
bfd_p-d65,892,1156,2.2414,19
bfd_p-d65,892,1077,1.09475,11
bfd_p-d65,892,1102,2.26586,20
bfd_p-d65,892,1057,1.26062,14
bfd_p-d65,892,1070,2.19196,22
bfd_p-d65,892,981,1.01359,11
